CENSUS_YEAR	GEO_CODE (POR)	GEO_LEVEL	GEO_NAME	GNR	DATA_QUALITY_FLAG	ALT_GEO_CODE	DIM: Employment income statistics (7)	Member ID: Employment income statistics (7)	Notes: Employment income statistics (7)	DIM: Work activity during the reference year (4)	Member ID: Work activity during the reference year (4)	Notes: Work activity during the reference year (4)	DIM: Age (6B)	Member ID: Age (6B)	Notes: Age (6B)	DIM: Sex (3)	Member ID: Sex (3)	Notes: Sex (3)	DIM: Occupation - National Occupational Classification (NOC) 2016 (691)	Member ID: Occupation - National Occupational Classification (NOC) 2016 (691)	Notes: Occupation - National Occupational Classification (NOC) 2016 (691)	Average Income - Female	Average Income - Male	Gap	Gap_Perc	City_rank_in_NOC	Num_Cities_for_NOC
2016	932	2	Abbotsford - Mission	5.3	0	59932	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		0	0	n/a	n/a	n/a	19
2016	568	2	Barrie	4.1	0	35568	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		58002	89712	31710	0.353464419	17	19
2016	522	2	Belleville	4.8	0	35522	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		0	0	n/a	n/a	n/a	19
2016	543	2	Brantford	5.3	20000	35543	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		0	0	n/a	n/a	n/a	19
2016	825	2	Calgary	4.9	0	48825	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		91150	177271	86121	0.485815503	18	19
2016	1	0	Canada	5.1	20000	1	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		85223	105862	20639	0.194961365	12	19
2016	835	2	Edmonton	5.7	0	48835	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		72857	102097	29240	0.286394311	16	19
2016	580	2	Greater Sudbury	5.5	0	35580	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		0	65198	n/a	n/a	n/a	19
2016	550	2	Guelph	3.9	0	35550	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		0	83439	n/a	n/a	n/a	19
2016	205	2	Halifax	4.7	0	12205	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		63721	86616	22895	0.264327607	15	19
2016	537	2	Hamilton	4.5	0	35537	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		91129	94913	3784	0.03986809	4	19
2016	915	2	Kelowna	6	0	59915	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		0	115476	n/a	n/a	n/a	19
2016	521	2	Kingston	4.4	0	35521	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		0	0	n/a	n/a	n/a	19
2016	541	2	Kitchener - Cambridge - Waterloo	4.4	0	35541	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		46923	121646	74723	0.614265985	19	19
2016	810	2	Lethbridge	6	0	48810	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		0	0	n/a	n/a	n/a	19
2016	555	2	London	4.3	0	35555	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		93041	98587	5546	0.056254881	5	19
2016	305	2	Moncton	4.5	0	13305	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		74648	80753	6105	0.075600906	6	19
2016	462	2	Montréal	3.7	20000	24462	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		87643	97808	10165	0.103928104	7	19
2016	532	2	Oshawa	4	0	35532	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		84702	84985	283	0.003329999	3	19
2016	505	2	Ottawa - Gatineau	4	0	35505	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		99037	111785	12748	0.114040345	8	19
2016	529	2	Peterborough	4.5	0	35529	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		0	0	n/a	n/a	n/a	19
2016	421	2	Quebec	4.3	0	24421	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		71820	81746	9926	0.121424902	9	19
2016	705	2	Regina	5.5	0	47705	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		112623	104178	-8445	-0.08106318	2	19
2016	408	2	Saguenay	4.6	0	24408	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		0	68519	n/a	n/a	n/a	19
2016	310	2	Saint John	4.9	0	13310	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		0	83598	n/a	n/a	n/a	19
2016	725	2	Saskatoon	4.9	0	47725	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		98890	80234	-18656	-0.232519879	1	19
2016	433	2	Sherbrooke	4.2	0	24433	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		0	84072	n/a	n/a	n/a	19
2016	539	2	St. Catharines - Niagara	5.1	0	35539	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		0	91008	n/a	n/a	n/a	19
2016	1	2	St. John's	5.3	0	10001	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		75601	88215	12614	0.142991555	10	19
2016	595	2	Thunder Bay	5	0	35595	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		0	0	n/a	n/a	n/a	19
2016	535	2	Toronto	4.2	0	35535	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		86471	113874	27403	0.240643167	14	19
2016	442	2	Trois-Rivières	3.8	0	24442	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		0	101175	n/a	n/a	n/a	19
2016	933	2	Vancouver	5.7	1	59933	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		83650	108447	24797	0.228655472	13	19
2016	935	2	Victoria	4.9	20000	59935	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		0	95944	n/a	n/a	n/a	19
2016	559	2	Windsor	5	0	35559	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		0	0	n/a	n/a	n/a	19
2016	602	2	Winnipeg	4	0	46602	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0131 Telecommunication carriers managers	23		79893	98845	18952	0.191734534	11	19
2016	932	2	Abbotsford - Mission	5.3	0	59932	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	114011	n/a	n/a	n/a	14
2016	568	2	Barrie	4.1	0	35568	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	111095	n/a	n/a	n/a	14
2016	522	2	Belleville	4.8	0	35522	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	114480	n/a	n/a	n/a	14
2016	543	2	Brantford	5.3	20000	35543	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	97893	n/a	n/a	n/a	14
2016	825	2	Calgary	4.9	0	48825	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		153863	203880	50017	0.245325682	6	14
2016	1	0	Canada	5.1	20000	1	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		97460	138228	40768	0.294933009	9	14
2016	835	2	Edmonton	5.7	0	48835	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		105536	162282	56746	0.349675257	11	14
2016	580	2	Greater Sudbury	5.5	0	35580	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	144687	n/a	n/a	n/a	14
