"","GEO.NAME","ALT.GEO.CODE","EDUC15","EDUC15.ID","tech","V1","V2","pct","dum"
"1","St. John's","10001","No certificate, diploma or
degree",2,1,10,20,0.314465408805031,0
"2","St. John's","10001","Secondary (high) school
diploma or equivalency
certificate",3,1,320,275,4.32389937106918,0
"3","St. John's","10001","Apprenticeship or trades
certificate or diploma",5,1,195,215,3.38050314465409,0
"4","St. John's","10001","College, CEGEP or other non-
university certificate or
diploma",8,1,2245,2160,33.9622641509434,0
"5","St. John's","10001","University certificate or
diploma below bachelor level",9,1,205,195,3.06603773584906,0
"6","St. John's","10001","University certificate,
diploma or degree at bachelor
level or above",10,1,3680,3495,54.9528301886792,0
"7","Bay Roberts","10005","No certificate, diploma or
degree",2,1,0,0,0,0
"8","Bay Roberts","10005","Secondary (high) school
diploma or equivalency
certificate",3,1,0,10,12.5,0
"9","Bay Roberts","10005","Apprenticeship or trades
certificate or diploma",5,1,0,0,0,0
"10","Bay Roberts","10005","College, CEGEP or other non-
university certificate or
diploma",8,1,30,20,25,0
"11","Bay Roberts","10005","University certificate or
diploma below bachelor level",9,1,10,10,12.5,0
"12","Bay Roberts","10005","University certificate,
diploma or degree at bachelor
level or above",10,1,35,40,50,0
"13","Grand Falls-Windsor","10010","No certificate, diploma or
degree",2,1,0,0,0,0
"14","Grand Falls-Windsor","10010","Secondary (high) school
diploma or equivalency
certificate",3,1,0,20,12.9032258064516,0
"15","Grand Falls-Windsor","10010","Apprenticeship or trades
certificate or diploma",5,1,0,10,6.45161290322581,0
"16","Grand Falls-Windsor","10010","College, CEGEP or other non-
university certificate or
diploma",8,1,90,75,48.3870967741936,0
"17","Grand Falls-Windsor","10010","University certificate or
diploma below bachelor level",9,1,0,0,0,0
"18","Grand Falls-Windsor","10010","University certificate,
diploma or degree at bachelor
level or above",10,1,45,50,32.258064516129,0
"19","Gander","10011","No certificate, diploma or
degree",2,1,10,0,0,0
"20","Gander","10011","Secondary (high) school
diploma or equivalency
certificate",3,1,20,10,10.5263157894737,0
"21","Gander","10011","Apprenticeship or trades
certificate or diploma",5,1,10,10,10.5263157894737,0
"22","Gander","10011","College, CEGEP or other non-
university certificate or
diploma",8,1,50,65,68.4210526315789,0
"23","Gander","10011","University certificate or
diploma below bachelor level",9,1,0,0,0,0
"24","Gander","10011","University certificate,
diploma or degree at bachelor
level or above",10,1,20,10,10.5263157894737,0
"25","Corner Brook","10015","No certificate, diploma or
degree",2,1,0,0,0,0
"26","Corner Brook","10015","Secondary (high) school
diploma or equivalency
certificate",3,1,10,0,0,0
"27","Corner Brook","10015","Apprenticeship or trades
certificate or diploma",5,1,20,30,10.3448275862069,0
"28","Corner Brook","10015","College, CEGEP or other non-
university certificate or
diploma",8,1,205,155,53.448275862069,0
"29","Corner Brook","10015","University certificate or
diploma below bachelor level",9,1,0,20,6.89655172413793,0
"30","Corner Brook","10015","University certificate,
diploma or degree at bachelor
level or above",10,1,105,85,29.3103448275862,0
"31","Charlottetown","11105","No certificate, diploma or
degree",2,1,10,10,0.619195046439629,0
"32","Charlottetown","11105","Secondary (high) school
diploma or equivalency
certificate",3,1,185,145,8.97832817337461,0
"33","Charlottetown","11105","Apprenticeship or trades
certificate or diploma",5,1,50,30,1.85758513931889,0
"34","Charlottetown","11105","College, CEGEP or other non-
university certificate or
diploma",8,1,570,555,34.3653250773994,0
"35","Charlottetown","11105","University certificate or
diploma below bachelor level",9,1,40,30,1.85758513931889,0
"36","Charlottetown","11105","University certificate,
diploma or degree at bachelor
level or above",10,1,830,845,52.3219814241486,0
"37","Summerside","11110","No certificate, diploma or
degree",2,1,0,0,0,0
"38","Summerside","11110","Secondary (high) school
diploma or equivalency
certificate",3,1,40,35,17.9487179487179,0
"39","Summerside","11110","Apprenticeship or trades
certificate or diploma",5,1,10,0,0,0
"40","Summerside","11110","College, CEGEP or other non-
university certificate or
diploma",8,1,105,105,53.8461538461538,0
"41","Summerside","11110","University certificate or
diploma below bachelor level",9,1,10,10,5.12820512820513,0
"42","Summerside","11110","University certificate,
diploma or degree at bachelor
level or above",10,1,45,45,23.0769230769231,0
"43","Halifax","12205","No certificate, diploma or
degree",2,1,85,80,0.625978090766823,0
"44","Halifax","12205","Secondary (high) school
diploma or equivalency
certificate",3,1,1220,1165,9.11580594679186,0
"45","Halifax","12205","Apprenticeship or trades
certificate or diploma",5,1,395,385,3.01251956181534,0
"46","Halifax","12205","College, CEGEP or other non-
university certificate or
diploma",8,1,3680,3625,28.3646322378717,0
"47","Halifax","12205","University certificate or
diploma below bachelor level",9,1,340,360,2.8169014084507,0
"48","Halifax","12205","University certificate,
diploma or degree at bachelor
level or above",10,1,7475,7165,56.0641627543036,0
"49","Kentville","12210","No certificate, diploma or
degree",2,1,20,20,5.33333333333333,0
"50","Kentville","12210","Secondary (high) school
diploma or equivalency
certificate",3,1,65,65,17.3333333333333,0
"51","Kentville","12210","Apprenticeship or trades
certificate or diploma",5,1,10,10,2.66666666666667,0
"52","Kentville","12210","College, CEGEP or other non-
university certificate or
diploma",8,1,110,90,24,0
"53","Kentville","12210","University certificate or
diploma below bachelor level",9,1,20,20,5.33333333333333,0
"54","Kentville","12210","University certificate,
diploma or degree at bachelor
level or above",10,1,190,170,45.3333333333333,0
"55","Truro","12215","No certificate, diploma or
degree",2,1,0,0,0,0
"56","Truro","12215","Secondary (high) school
diploma or equivalency
certificate",3,1,70,60,13.4831460674157,0
"57","Truro","12215","Apprenticeship or trades
certificate or diploma",5,1,30,30,6.74157303370786,0
"58","Truro","12215","College, CEGEP or other non-
university certificate or
diploma",8,1,185,165,37.0786516853933,0
"59","Truro","12215","University certificate or
diploma below bachelor level",9,1,40,30,6.74157303370786,0
"60","Truro","12215","University certificate,
diploma or degree at bachelor
level or above",10,1,170,160,35.9550561797753,0
"61","New Glasgow","12220","No certificate, diploma or
degree",2,1,0,0,0,0
"62","New Glasgow","12220","Secondary (high) school
diploma or equivalency
certificate",3,1,60,55,14.4736842105263,0
"63","New Glasgow","12220","Apprenticeship or trades
certificate or diploma",5,1,10,20,5.26315789473684,0
"64","New Glasgow","12220","College, CEGEP or other non-
university certificate or
diploma",8,1,135,140,36.8421052631579,0
"65","New Glasgow","12220","University certificate or
diploma below bachelor level",9,1,0,0,0,0
"66","New Glasgow","12220","University certificate,
diploma or degree at bachelor
level or above",10,1,165,165,43.4210526315789,0
