"","GEO.NAME","GEO.CODE","tech","V1","V2","V3"
"1","Canada","01","Non Tech Occupation",16102865,8287780,7815130
"2","Canada","01","Tech Occupation",758285,597025,161270
"3","Newfoundland and Labrador / Terre-Neuve-et-Labrador","10","Non Tech Occupation",234480,120290,114170
"4","Newfoundland and Labrador / Terre-Neuve-et-Labrador","10","Tech Occupation",7415,6070,1355
"5","St. John's","10001","Non Tech Occupation",90690,43960,46750
"6","St. John's","10001","Tech Occupation",5085,4035,1040
"7","Bay Roberts","10005","Non Tech Occupation",4500,2230,2025
"8","Bay Roberts","10005","Tech Occupation",65,60,10
"9","Grand Falls-Windsor","10010","Non Tech Occupation",5985,2880,2950
"10","Grand Falls-Windsor","10010","Tech Occupation",130,125,0
"11","Corner Brook","10015","Non Tech Occupation",12225,5890,6070
"12","Corner Brook","10015","Tech Occupation",310,260,45
"13","Prince Edward Island / <U+FFFD>le-du-Prince-<U+FFFD>douard","11","Non Tech Occupation",72195,36330,35925
"14","Prince Edward Island / <U+FFFD>le-du-Prince-<U+FFFD>douard","11","Tech Occupation",2255,1610,630
"15","Charlottetown","11105","Non Tech Occupation",31090,14940,16045
"16","Charlottetown","11105","Tech Occupation",1480,1115,375
"17","Summerside","11110","Non Tech Occupation",8225,3810,4240
"18","Summerside","11110","Tech Occupation",235,115,70
"19","Nova Scotia / Nouvelle-<U+FFFD>cosse","12","Non Tech Occupation",452715,230035,222740
"20","Nova Scotia / Nouvelle-<U+FFFD>cosse","12","Tech Occupation",15890,12580,3330
"21","Halifax","12205","Non Tech Occupation",199870,98250,101450
"22","Halifax","12205","Tech Occupation",10310,8275,2025
"23","Kentville","12210","Non Tech Occupation",12940,6535,6185
"24","Kentville","12210","Tech Occupation",260,150,125
"25","Truro","12215","Non Tech Occupation",22255,11435,10620
"26","Truro","12215","Tech Occupation",410,350,75
"27","New Glasgow","12220","Non Tech Occupation",17095,8730,8055
"28","New Glasgow","12220","Tech Occupation",645,460,180
"29","Cape Breton","12225","Non Tech Occupation",43900,21235,22410
"30","Cape Breton","12225","Tech Occupation",1285,900,340
"31","New Brunswick / Nouveau-Brunswick","13","Non Tech Occupation",364810,187450,177415
"32","New Brunswick / Nouveau-Brunswick","13","Tech Occupation",12145,9450,2690
"33","Moncton","13305","Non Tech Occupation",66940,33015,33925
"34","Moncton","13305","Tech Occupation",3215,2520,720
"35","Saint John","13310","Non Tech Occupation",59845,29935,29820
"36","Saint John","13310","Tech Occupation",3175,2340,845
"37","Fredericton","13320","Non Tech Occupation",45510,22620,22805
"38","Fredericton","13320","Tech Occupation",2860,2250,635
"39","Bathurst","13328","Non Tech Occupation",15310,7860,7285
"40","Bathurst","13328","Tech Occupation",390,330,45
"41","Miramichi","13329","Non Tech Occupation",11800,5850,5740
"42","Miramichi","13329","Tech Occupation",260,190,65
"43","Campbellton","13330","Non Tech Occupation",8260,4045,4070
"44","Campbellton","13330","Tech Occupation",100,100,0
"45","Edmundston","13335","Non Tech Occupation",11020,5545,5270
"46","Edmundston","13335","Tech Occupation",105,80,10
"47","Quebec / Qu<U+FFFD>bec","24","Non Tech Occupation",3759475,1943740,1815735
"48","Quebec / Qu<U+FFFD>bec","24","Tech Occupation",170190,136590,33600
"49","Matane","24403","Non Tech Occupation",7680,3825,3710
"50","Matane","24403","Tech Occupation",165,120,30
"51","Rimouski","24404","Non Tech Occupation",23315,11310,11890
"52","Rimouski","24404","Tech Occupation",1110,895,220
"53","Rivi<U+FFFD>re-du-Loup","24405","Non Tech Occupation",12590,6275,6020
"54","Rivi<U+FFFD>re-du-Loup","24405","Tech Occupation",290,205,80
"55","Baie-Comeau","24406","Non Tech Occupation",15660,8490,6960
"56","Baie-Comeau","24406","Tech Occupation",375,320,50
"57","Saguenay","24408","Non Tech Occupation",71310,38180,32825
"58","Saguenay","24408","Tech Occupation",2425,2055,350
"59","Alma","24410","Non Tech Occupation",15710,8585,6960
"60","Alma","24410","Tech Occupation",230,220,10
"61","Dolbeau-Mistassini","24411","Non Tech Occupation",6720,3620,2845
"62","Dolbeau-Mistassini","24411","Tech Occupation",50,45,10
"63","Sept-<U+FFFD>les","24412","Non Tech Occupation",13795,7020,6600
"64","Sept-<U+FFFD>les","24412","Tech Occupation",345,280,50
"65","Qu<U+FFFD>bec","24421","Non Tech Occupation",373470,186910,186380
"66","Qu<U+FFFD>bec","24421","Tech Occupation",22735,17765,4980
"67","Saint-Georges","24428","Non Tech Occupation",17330,9145,7935
"68","Saint-Georges","24428","Tech Occupation",245,225,20
"69","Thetford Mines","24430","Non Tech Occupation",12395,6455,5775
"70","Thetford Mines","24430","Tech Occupation",210,190,10
"71","Sherbrooke","24433","Non Tech Occupation",93550,47560,45955
"72","Sherbrooke","24433","Tech Occupation",3040,2625,425
"73","Cowansville","24437","Non Tech Occupation",6105,2960,2960
"74","Cowansville","24437","Tech Occupation",160,120,35
"75","Victoriaville","24440","Non Tech Occupation",24535,12630,11675
"76","Victoriaville","24440","Tech Occupation",490,430,70
"77","Trois-Rivi<U+FFFD>res","24442","Non Tech Occupation",67230,35155,31845
"78","Trois-Rivi<U+FFFD>res","24442","Tech Occupation",1925,1665,270
"79","Shawinigan","24444","Non Tech Occupation",23985,12510,11180
"80","Shawinigan","24444","Tech Occupation",470,420,45
"81","La Tuque","24446","Non Tech Occupation",6470,3445,2840
"82","La Tuque","24446","Tech Occupation",100,95,10
"83","Drummondville","24447","Non Tech Occupation",39130,20820,18135
"84","Drummondville","24447","Tech Occupation",845,700,105
"85","Granby","24450","Non Tech Occupation",35610,18430,17155
"86","Granby","24450","Tech Occupation",1190,910,235
"87","Saint-Hyacinthe","24452","Non Tech Occupation",29055,14800,14085
"88","Saint-Hyacinthe","24452","Tech Occupation",655,550,120
"89","Sorel-Tracy","24454","Non Tech Occupation",22265,11975,10070
"90","Sorel-Tracy","24454","Tech Occupation",545,500,55
"91","Joliette","24456","Non Tech Occupation",20590,10300,10145
"92","Joliette","24456","Tech Occupation",380,290,40
"93","Saint-Jean-sur-Richelieu","24459","Non Tech Occupation",45095,23070,21805
"94","Saint-Jean-sur-Richelieu","24459","Tech Occupation",1800,1485,310
"95","Montr<U+FFFD>al","24462","Non Tech Occupation",1816340,919765,896540
"96","Montr<U+FFFD>al","24462","Tech Occupation",107645,86270,21360
"97","Salaberry-de-Valleyfield","24465","Non Tech Occupation",18890,9740,8865
"98","Salaberry-de-Valleyfield","24465","Tech Occupation",285,175,55
"99","Lachute","24468","Non Tech Occupation",5445,2690,2510
"100","Lachute","24468","Tech Occupation",70,75,0
"101","Val-d'Or","24480","Non Tech Occupation",16075,8485,7395
"102","Val-d'Or","24480","Tech Occupation",385,315,55
"103","Amos","24481","Non Tech Occupation",9190,4770,4210
"104","Amos","24481","Tech Occupation",100,75,15
"105","Rouyn-Noranda","24485","Non Tech Occupation",19645,10010,9555
"106","Rouyn-Noranda","24485","Tech Occupation",540,435,75
"107","Ontario","35","Non Tech Occupation",6131450,3121580,3009910
"108","Ontario","35","Tech Occupation",342250,264320,77920
"109","Cornwall","35501","Non Tech Occupation",26430,13315,12795
"110","Cornwall","35501","Tech Occupation",595,450,95
"111","Hawkesbury","35502","Non Tech Occupation",5535,2770,2510
"112","Hawkesbury","35502","Tech Occupation",95,65,0
"113","Ottawa - Gatineau","35505","Non Tech Occupation",565365,275005,290205
"114","Ottawa - Gatineau","35505","Tech Occupation",61655,46815,14860
"115","Brockville","35512","Non Tech Occupation",19185,9675,9330
"116","Brockville","35512","Tech Occupation",550,425,95
"117","Pembroke","35515","Non Tech Occupation",10590,5430,5055
"118","Pembroke","35515","Tech Occupation",205,140,55
