"","tech","ALT.GEO.CODE","GEO.NAME","V1","pct","cma.focus","rownum","x","y"
"1",0,"48806","Brooks",12860,0.502901353965184,"0",1,5,3
"2",1,"48806","Brooks",65,0.502901353965184,"0",1,5,3
"3",0,"59975","Dawson Creek",6540,0.909090909090909,"0",2,6,3
"4",1,"59975","Dawson Creek",60,0.909090909090909,"0",2,6,3
"5",0,"47750","Estevan",8060,0.921942224953903,"0",3,7,3
"6",1,"47750","Estevan",75,0.921942224953903,"0",3,7,3
"7",0,"48865","Wetaskiwin",6295,1.02201257861635,"0",4,8,3
"8",1,"48865","Wetaskiwin",65,1.02201257861635,"0",4,8,3
"9",0,"59955","Prince Rupert",6775,1.02264426588751,"0",5,9,3
"10",1,"59955","Prince Rupert",70,1.02264426588751,"0",5,9,3
"11",0,"47720","Swift Current",10150,1.02389078498294,"0",6,10,3
"12",1,"47720","Swift Current",105,1.02389078498294,"0",6,10,3
"13",0,"59940","Port Alberni",10820,1.09689213893967,"0",7,11,3
"14",1,"59940","Port Alberni",120,1.09689213893967,"0",7,11,3
"15",0,"47735","North Battleford",9815,1.10831234256927,"0",8,12,3
"16",1,"47735","North Battleford",110,1.10831234256927,"0",8,12,3
"17",0,"46605","Steinbach",8105,1.15853658536585,"0",9,13,3
"18",1,"46605","Steinbach",95,1.15853658536585,"0",9,13,3
"19",0,"24468","Lachute",5510,1.16591928251121,"0",10,14,3
"20",1,"24468","Lachute",65,1.16591928251121,"0",10,14,3
"21",0,"13330","Campbellton",6825,1.2301013024602,"0",11,15,3
"22",1,"13330","Campbellton",85,1.2301013024602,"0",11,15,3
"23",0,"59945","Powell River",7300,1.28465179175118,"0",12,16,3
"24",1,"59945","Powell River",95,1.28465179175118,"0",12,16,3
"25",0,"59950","Williams Lake",9280,1.3290802764487,"0",13,17,3
"26",1,"59950","Williams Lake",125,1.3290802764487,"0",13,17,3
"27",0,"46603","Winkler",15095,1.37210062071219,"0",14,18,3
"28",1,"46603","Winkler",210,1.37210062071219,"0",14,18,3
"29",0,"59944","Campbell River",18100,1.4161220043573,"0",15,19,3
"30",1,"59944","Campbell River",260,1.4161220043573,"0",15,19,3
"31",0,"47710","Yorkton",9925,1.43992055610725,"0",16,20,3
"32",1,"47710","Yorkton",145,1.43992055610725,"0",16,20,3
"33",0,"59952","Quesnel",11185,1.45374449339207,"0",17,21,3
"34",1,"59952","Quesnel",165,1.45374449339207,"0",17,21,3
"35",0,"48826","Strathmore",7400,1.4647137150466,"0",18,22,3
"36",1,"48826","Strathmore",110,1.4647137150466,"0",18,22,3
"37",0,"47745","Prince Albert",21020,1.52260482548606,"0",19,23,3
"38",1,"47745","Prince Albert",325,1.52260482548606,"0",19,23,3
"39",0,"24437","Cowansville",5995,1.55993431855501,"0",20,24,3
"40",1,"24437","Cowansville",95,1.55993431855501,"0",20,24,3
"41",0,"46607","Portage la Prairie",6190,1.58982511923688,"0",21,25,3
"42",1,"46607","Portage la Prairie",100,1.58982511923688,"0",21,25,3
"43",0,"35547","Norfolk",30315,1.59065086836553,"0",22,26,3
"44",1,"35547","Norfolk",490,1.59065086836553,"0",22,26,3
"45",0,"48833","Camrose",9525,1.60123966942149,"0",23,27,3
"46",1,"48833","Camrose",155,1.60123966942149,"0",23,27,3
"47",0,"35582","Elliot Lake",3330,1.62481536189069,"0",24,28,3
"48",1,"35582","Elliot Lake",55,1.62481536189069,"0",24,28,3
"49",0,"35527","Cobourg",8245,1.66964818127609,"0",25,29,3
"50",1,"35527","Cobourg",140,1.66964818127609,"0",25,29,3
"51",0,"10011","Gander",6440,1.6793893129771,"0",26,30,3
"52",1,"10011","Gander",110,1.6793893129771,"0",26,30,3
"53",0,"47755","Weyburn",5505,1.69642857142857,"0",27,31,3
"54",1,"47755","Weyburn",95,1.69642857142857,"0",27,31,3
"55",0,"46610","Brandon",30985,1.69733502538071,"0",28,32,3
"56",1,"46610","Brandon",535,1.69733502538071,"0",28,32,3
"57",0,"59965","Terrace",8285,1.72004744958482,"0",29,33,3
"58",1,"59965","Terrace",145,1.72004744958482,"0",29,33,3
"59",0,"24411","Dolbeau-Mistassini",6800,1.73410404624277,"0",30,34,3
"60",1,"24411","Dolbeau-Mistassini",120,1.73410404624277,"0",30,34,3
"61",0,"35557","Leamington",22175,1.7718715393134,"0",31,35,3
