"","GEO.NAME","ALT.GEO.CODE","SEX3","SEX3.ID","V1","V2","male.tech.pay","male.non.tech.pay","total_labour","non.tech.pay","prop.tech","share_tech","pay.gap","i.V1","male.prop.tech","share.male","color"
"1","Abbotsford - Mission","59932","Female",3,310,26415.2258064516,60383.5194805195,47850.4609974425,44465,29907.9587815649,0.697177555380636,16.711590296496,33968.2936740678,1540,3.17787866281469,83.0188679245283,"1"
"2","Barrie","35568","Female",3,680,36123.6911764706,71676.6574500769,52504.0500471254,52835,35671.4859553255,1.28702564587868,17.3913043478261,35552.9662736063,3255,5.78101411952757,83.2480818414322,"1"
"3","Belleville","35522","Female",3,295,19454.4237288136,57009.2017167383,41201.1738528481,24700,30367.8190944479,1.19433198380567,20.0680272108844,37554.7779879247,1165,4.4053696350917,79.2517006802721,"1"
"4","Brantford","35543","Female",3,220,27835.7272727273,65181.7333333334,47362.3838634375,33775,33060.5699597675,0.651369356032569,11.5485564304462,37346.0060606061,1650,4.59354120267261,86.6141732283465,"1"
"5","Calgary","48825","Female",3,12500,92954.2488,121447.553966976,79821.5377988748,379955,49227.727367977,3.28986327328236,20.1029269861692,28493.3051669755,49660,11.8412895226286,79.8649083306529,"1"
"6","Canada","01","Female",3,188340,68943.6564090054,76239.2714915769,49489.7522517683,8941105,39481.021846553,2.10645104827647,20.1414844639792,7295.61508257154,746730,7.81236840632309,79.8569114037761,"0"
"7","Edmonton","48835","Female",3,6600,75327.2931818182,99985.2862574689,72296.4511177528,355540,44422.9467960108,1.85633121449063,19.2954246455197,24657.9930756507,27615,6.95014219917952,80.7338108463675,"1"
"8","Greater Sudbury","35580","Female",3,440,37284.9090909091,74850.3317647059,57575.5105288345,41540,36965.6545012165,1.05922002888782,17.1875,37565.4226737969,2125,4.83889331663441,83.0078125,"1"
"9","Guelph","35550","Female",3,795,55890.2704402516,75292.0747967479,53598.5602220614,42380,38259.8757965613,1.87588485134497,20.5426356589147,19401.8043564963,3075,6.90933602965959,79.4573643410853,"1"
"10","Halifax","12205","Female",3,2465,55109.7687626775,69142.5280373832,52219.7974055328,111985,37082.611577794,2.20118765906148,18.745247148289,14032.7592747057,10700,9.51491707794229,81.3688212927757,"1"
"11","Hamilton","35537","Female",3,3370,63339.1839762611,81179.2181756296,58834.3643936722,191630,41117.0516041645,1.75859729687418,18.6496956281129,17840.0341993685,14690,7.38357920132693,81.294964028777,"1"
"12","Kelowna","59915","Female",3,565,38346.5663716814,65444.6875,51432.0860118154,50445,33390.4185044106,1.12003171771236,17.1732522796353,27098.1211283186,2720,5.16570126293799,82.6747720364742,"1"
"13","Kingston","35521","Female",3,670,43684.5746268657,64937.8492647058,46268.5945283262,41940,37055.4148291737,1.59752026704816,19.6193265007321,21253.2746378401,2720,6.55974918606053,79.6486090775988,"1"
"14","Kitchener - Cambridge - Waterloo","35541","Female",3,4145,65911.9879372738,85077.8849391956,54071.1076676364,138455,37967.2495718859,2.99375248275613,20.5401387512388,19165.8970019218,16035,10.6825222344359,79.4598612487611,"1"
"15","Lethbridge","48810","Female",3,170,27395.5294117647,59274.3379629629,50913.5088812714,30320,34985.408291874,0.560686015831135,13.6546184738956,31878.8085511982,1080,3.25595417545975,86.7469879518072,"1"
"16","London","35555","Female",3,2230,60169.7533632287,70120.8631698973,49735.4198050324,126235,38085.1014878432,1.76654652037866,20.2819463392451,9951.10980666865,8770,6.80953490177809,79.7635288767622,"1"
"17","Moncton","13305","Female",3,740,49135.4391891892,66371.1476635514,43409.4295859574,39700,33543.8404774127,1.8639798488665,21.4492753623188,17235.7084743622,2675,6.68917229307327,77.536231884058,"1"
"18","Montréal","24462","Female",3,25685,64699.915514892,73137.3687252679,51037.9125898387,1047200,37864.4060880163,2.45273109243697,18.5921100253348,8437.45321037598,112455,10.2265286821141,81.400651465798,"1"
"19","Oshawa","35532","Female",3,2000,71097.17,82610.9763124199,58159.3996279563,97920,40904.7897206005,2.04248366013072,20.3665987780041,11513.8063124199,7810,7.66550522648084,79.5315682281059,"1"
"20","Ottawa - Gatineau","35505","Female",3,16030,76262.6615720524,89362.6027877869,55591.4029528622,353210,45349.517409099,4.53837660315393,23.3197556008147,13099.9412157345,52730,14.7070718339911,76.7093395402968,"1"
"21","Peterborough","35529","Female",3,385,37257.1818181818,61387.6174698796,43338.444092827,30250,33935.1459902896,1.27272727272727,18.5096153846154,24130.4356516977,1660,5.51495016611296,79.8076923076923,"1"
"22","Québec","24421","Female",3,5545,59874.5482416592,66667.4044612795,48083.582899719,215650,38047.7100259394,2.57129608161373,18.9184578642102,6792.85621962036,23760,10.401208221157,81.064483111566,"1"
"23","Regina","47705","Female",3,1680,74097.1994047619,84382.2561837456,60254.0545226329,64575,43205.1623340488,2.60162601626016,22.9822161422709,10285.0567789837,5660,8.15620721954031,77.4281805745554,"1"
"24","Saguenay","24408","Female",3,480,29853.5104166667,64308.7653239931,45158.6279156328,37680,31420.2942204301,1.27388535031847,14.5015105740181,34455.2549073264,2855,6.61568763758545,86.2537764350453,"1"
"25","Saint John","13310","Female",3,770,51756.7337662338,74726.6195856873,48387.9775318024,32365,32961.8055072005,2.37911323961069,22.5475841874085,22969.8858194535,2655,8.06500607533414,77.7452415812592,"1"
"26","Saskatoon","47725","Female",3,1125,55096.9555555556,83975.1944177093,60382.412026176,80430,39807.1973393859,1.39873181648639,17.7865612648221,28878.2388621537,5195,6.0277310436851,82.1343873517787,"1"
"27","Sherbrooke","24433","Female",3,635,36036.9133858268,58669.8188679246,41032.7977987728,53175,32865.1323753331,1.19417019275976,13.7594799566631,22632.9054820978,3975,7.18676550352558,86.1321776814735,"1"
"28","St. Catharines - Niagara","35539","Female",3,930,45393.6989247312,68192.087398374,46729.9343274436,100665,33375.330726425,0.92385635523767,15.8567774936061,22798.3884736428,4920,4.78459593503841,83.8874680306905,"1"
"29","St. John's","10001","Female",3,1415,70725.6819787986,97173.1078799251,64340.4793248945,57555,41206.8525115782,2.45851793936235,20.9010339734121,26447.4259011265,5330,9.08703435342256,78.7296898079764,"1"
"30","Thunder Bay","35595","Female",3,295,30888.6101694915,62703.0396039605,48814.4990865304,31015,35954.5675455729,0.95115266806384,15.9459459459459,31814.4294344689,1515,4.79127134724858,81.8918918918919,"1"
"31","Toronto","35535","Female",3,52345,71055.8885280352,82324.3053204566,55512.299783885,1526805,43144.5049788261,3.4284011383248,22.3993324489709,11268.4167924215,181345,11.3659582202556,77.6006675510291,"1"
"32","Trois-Rivières","24442","Female",3,465,27512.7956989247,63989.4288793104,40516.8511615343,37565,30787.9648247978,1.2378543857314,16.9398907103825,36476.6331803856,2320,5.89730554143366,84.5173041894353,"1"
"33","Vancouver","59933","Female",3,15525,65931.5439613527,84122.8667444575,56577.5344239669,645670,39384.1807441144,2.40447906825468,19.4585448392555,18191.3227831049,64275,9.45046866384856,80.5602556871592,"1"
"34","Victoria","59935","Female",3,2260,54294.0619469027,76399.6935201401,50763.7891456622,98915,37993.6096942734,2.28478997118738,20.8969024503005,22105.6315732375,8565,8.63233219109051,79.1955617198336,"1"
"35","Windsor","35559","Female",3,1150,54278.7652173913,93241.0730671198,52189.746999016,76490,36798.6127555084,1.50346450516407,16.277423920736,38962.3078497285,5885,7.16721471197175,83.2979476291578,"1"
"36","Winnipeg","46602","Female",3,3525,65364.0879432624,76300.1934170343,52284.2447843195,205625,38446.0254576942,1.71428571428571,19.3044906900329,10936.1054737719,14735,6.79752733311805,80.6955093099671,"1"
