"","GEO.NAME","GEO.CODE","TOT","non.tech.pay","tech.pay","color"
"1","Canada","01",17564365,45376.3363971822,75066.7537978129,"0"
"2","St. John's","10001",109535,53682.2781759255,92580.4615952733,"1"
"3","Halifax","12205",211240,44922.3192577163,67778.7950570342,"1"
"4","Moncton","13305",76265,39777.7176293188,63631.6826086956,"1"
"5","Saint John","13310",61905,42069.8416929166,72275.925329429,"1"
"6","Saguenay","24408",77470,39841.4526268233,63045.084592145,"1"
"7","Québec","24421",414700,43165.4512418616,65509.2470146708,"1"
"8","Sherbrooke","24433",104045,37755.9253688308,57849.068255688,"1"
"9","Trois-Rivières","24442",74035,37241.9074761937,63252.0746812386,"1"
"10","Montréal","24462",2008745,44218.2168779761,71600.5199420919,"1"
"11","Ottawa - Gatineau","35505",642975,50322.6283992379,86388.6385656095,"1"
"12","Kingston","35521",80095,43289.9225294962,63886.7247437774,"1"
"13","Belleville","35522",49655,38341.7341657436,53080.7006802721,"1"
"14","Peterborough","35529",58175,40510.1427589171,59825.5,"1"
"15","Oshawa","35532",190135,50031.1546795698,81116.7902240326,"1"
"16","Toronto","35535",2888695,45844.1935347998,75649.9330372502,"1"
"17","Hamilton","35537",372565,50131.9503710762,78425.2125069175,"1"
"18","St. Catharines - Niagara","35539",197595,40602.8652546876,66588.7774936061,"1"
"19","Kitchener - Cambridge - Waterloo","35541",268285,46436.3190450454,81387.7289395441,"1"
"20","Brantford","35543",67730,42079.8450465082,65553.1391076116,"1"
"21","Guelph","35550",82910,48307.889639368,75166.7519379845,"1"
"22","London","35555",243935,44244.6600118884,68631.5848112778,"1"
"23","Windsor","35559",151645,45186.6387286096,88750.1054493984,"1"
"24","Barrie","35568",105190,45377.6616123206,69819.8465473146,"1"
"25","Greater Sudbury","35580",82920,48779.6761336228,75262.966796875,"1"
"26","Thunder Bay","35595",60965,43896.4569015009,65226.4432432432,"1"
"27","Winnipeg","46602",404195,45901.1705488687,74475.9501642935,"1"
"28","Regina","47705",126665,52863.7725496388,83311.4815321477,"1"
"29","Saskatoon","47725",160280,51029.3309208884,81613.9675889328,"1"
"30","Lethbridge","48810",62165,45219.8146867208,60224.7510040161,"1"
"31","Calgary","48825",737200,64674.5694519805,115784.580411708,"1"
"32","Edmonton","48835",718600,58864.1623225717,95435.9039614091,"1"
"33","Kelowna","59915",99915,43762.1750487915,64340.0896656535,"1"
"34","Abbotsford - Mission","59932",91075,40416.5151797969,56780.7250673854,"1"
"35","Vancouver","59933",1245865,47926.7096715936,80615.3651688914,"1"
"36","Victoria","59935",187285,44730.6302426783,73176.0684234859,"1"
