"","GEO.NAME","ALT.GEO.CODE","VIS.MIN15","VIS.MIN15.ID","V1","V2","share.tech","prop.tech","non.tech.pay","non.vismin.tech.pay","pay.gap","color"
"1","Canada","01","Total - Visible minority",1,935085,75066.7537978129,100,5.05466378730178,45376.3363971822,79421.5909449288,4354.83714711596,"0"
"2","Canada","01","Total visible minority population",2,293705,76310.8957858481,31.4094440612351,7.6499024569391,38668.0695212261,79421.5909449288,3110.69515908067,"0"
"3","Canada","01","South Asian",3,85555,74018.4054117234,9.14943561280525,8.92206295657071,40104.769991756,79421.5909449288,5403.18553320537,"0"
"4","Canada","01","Chinese",4,91365,79643.4500629344,9.77076950223776,11.944464417615,42737.3236804989,79421.5909449288,-221.859118005566,"0"
"5","Canada","01","Black",5,24430,63047.7527629963,2.61259671580658,4.27486526212641,35928.9158760625,79421.5909449288,16373.8381819325,"0"
"6","Canada","01","Filipino",6,16355,69045.7963925405,1.74903885743007,3.40441918797681,37433.6002801423,79421.5909449288,10375.7945523883,"0"
"7","Canada","01","Latin American",7,15720,72857.780216285,1.68113059240604,6.07536231884058,35686.9563428384,79421.5909449288,6563.81072864383,"0"
"8","Canada","01","Arab",8,19010,69967.2974750132,2.03297026473529,9.14184039048787,36036.2238600577,79421.5909449288,9454.29346991566,"0"
"9","Canada","01","Southeast Asian",9,9985,72317.7441161743,1.06781736419684,6.05610310841547,35889.2008522177,79421.5909449288,7103.84682875455,"0"
"10","Canada","01","West Asian",10,12665,68992.5984998026,1.35442232524316,10.1397061766943,33293.0990288667,79421.5909449288,10428.9924451262,"0"
"11","Canada","01","Korean",11,5750,68110.6460869565,0.614917360453862,6.39279559730947,34717.3804263911,79421.5909449288,11310.9448579723,"0"
"12","Canada","01","Japanese",12,2580,84438.2131782946,0.275910746081907,5.53410553410553,45323.4777475023,79421.5909449288,-5016.62223336576,"0"
"13","Canada","01","Visible minority, n.i.e.",13,3440,67458.7572674419,0.367880994775876,4.91744693016939,39025.1128316921,79421.5909449288,11962.833677487,"0"
"14","Canada","01","Multiple visible minorities",14,6750,74520.5451851852,0.721859510098013,6.70540902995083,37729.5070542512,79421.5909449288,4901.04575974363,"0"
"15","Canada","01","Not a visible minority",15,641380,79421.5909449288,68.5905559387649,4.37501470832496,46843.5386692858,79421.5909449288,0,"0"
"16","St. John's","10001","Total - Visible minority",1,6770,92580.4615952733,100,5.82090193886763,53682.2781759256,93447.4634340222,867.001838748882,"1"
"17","St. John's","10001","Total visible minority population",2,460,59665.3586956522,6.79468242245199,10.6481481481481,26090.6062176166,93447.4634340222,33782.10473837,"1"
"18","St. John's","10001","South Asian",3,120,0,1.7725258493353,11.8226600985222,38705.0223463688,93447.4634340222,93447.4634340222,"1"
"19","St. John's","10001","Chinese",4,165,0,2.43722304283604,16.0975609756098,19362.7441860465,93447.4634340222,93447.4634340222,"1"
"20","St. John's","10001","Black",5,20,0,0.295420974889217,2.61437908496732,4361.25503355707,93447.4634340222,93447.4634340222,"1"
"21","St. John's","10001","Filipino",6,0,NA,0,0,NA,93447.4634340222,NA,"1"
"22","St. John's","10001","Latin American",7,50,0,0.738552437223043,18.1818181818182,0,93447.4634340222,93447.4634340222,"1"
"23","St. John's","10001","Arab",8,45,0,0.664697193500739,18.3673469387755,0,93447.4634340222,93447.4634340222,"1"
"24","St. John's","10001","Southeast Asian",9,20,0,0.295420974889217,17.3913043478261,0,93447.4634340222,93447.4634340222,"1"
"25","St. John's","10001","West Asian",10,20,0,0.295420974889217,16,0,93447.4634340222,93447.4634340222,"1"
"26","St. John's","10001","Korean",11,0,NA,0,0,NA,93447.4634340222,NA,"1"
"27","St. John's","10001","Japanese",12,0,NA,0,0,NA,93447.4634340222,NA,"1"
